OMB13CBSA,name,state,cbsa
12060," Atlanta-Sandy Springs-Roswell, GA",GA,12060
14460," Boston-Cambridge-Newton, MA-NH",MA,14454
16980," Chicago-Naperville-Elgin, IL-IN-WI",IL,16974
19100," Dallas-Fort Worth-Arlington, TX",TX,19124
19820," Detroit-Warren-Dearborn, MI",MI,19804
26420," Houston-The Woodlands-Sugar Land, TX",TX,26420
31080," Los Angeles-Long Beach-Anaheim, CA",CA,31084
33100," Miami-Fort Lauderdale-West Palm Beach, FL",FL,33124
35620," New York-Newark-Jersey City, NY-NJ-PA",NY,35614
37980," Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,37964
38060," Phoenix-Mesa-Scottsdale, AZ",AZ,38060
40140," Riverside-San Bernardino-Ontario, CA",CA,40140
41860," San Francisco-Oakland-Hayward, CA",CA,41884
42660," Seattle-Tacoma-Bellevue, WA",WA,42644
47900," Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,47894
