"ranks","weighting"
0,3.46410634873655
1,3.3487472966593
2,3.23890719947265
3,3.13622311461352
4,3.05826576285613
5,2.98691750431796
6,2.91363903341973
7,2.83846334090145
8,2.61715738128429
9,2.40240444691956
10,2.26477807491745
11,2.14449565887101
12,2.05146889217702
13,1.9608084105217
14,1.90266991433491
15,1.8356715557792
16,1.77584179292183
17,1.71403805774155
18,1.66839527969764
19,1.61178210954457
20,1.55492711665609
21,1.50680621999598
22,1.466502562739
23,1.415662593267
24,1.3847018868272
25,1.34042575454881
26,1.30366819207449
27,1.26738377357471
28,1.22823357587197
29,1.1887396650665
30,1.16886497535206
31,1.13683400076103
32,1.10165541313705
33,1.0748639392726
34,1.04838943921997
35,1.02053087724539
36,0.992064265817147
37,0.965987837649235
38,0.944628450499301
39,0.922369337991521
40,0.893169916839755
41,0.876206287489853
42,0.856946441883662
43,0.837151313390516
44,0.825866227774472
45,0.794191320042045
46,0.764699276516513
47,0.754768155220293
48,0.72901710044928
49,0.71099635592889
50,0.688424884924827
51,0.670241624409875
52,0.655172560699234
53,0.639406588904229
54,0.619732125970617
55,0.608966452297001
56,0.600404370694308
57,0.585284889717292
58,0.582327355041702
59,0.56375846449899
60,0.552803176766268
61,0.538454446675344
62,0.520606455551713
63,0.502480443155761
64,0.484190479466013
65,0.473706621431497
66,0.465982466925903
67,0.454565556347723
68,0.445569975955801
69,0.433374055285056
70,0.417708172258014
71,0.403457089858798
72,0.39063763951262
73,0.377190167492786
74,0.365190299961402
75,0.352588368248656
76,0.349525921195065
77,0.34430515369664
78,0.339000172919756
79,0.324154756691751
80,0.31457735885184
81,0.300126779183953
82,0.286462032863233
83,0.275177279466355
84,0.263599567775766
85,0.257100665046121
86,0.246114993504307
87,0.240662336446154
88,0.225403619468351
89,0.213925337228017
90,0.197867262963795
91,0.181678555408171
92,0.173295307862049
93,0.16540810598499
94,0.163551060865629
95,0.15891674547481
96,0.154619609636802
97,0.152750622077199
98,0.147128870757852
99,0.143744966022272
