"region","Year","total","renters"
12060,1985,214,25
12060,1987,176,26
12060,1989,235,42
12060,1991,171,26
12060,1993,244,35
12060,1995,210,41
12060,1997,117,18
12060,1999,177,38
12060,2001,182,40
12060,2003,174,43
12060,2005,203,47
12060,2007,161,33
12060,2009,156,32
12060,2011,182,53
12060,2013,181,49
12060,2015,3332,780
12060,2017,3226,774
12060,2019,3424,634
14460,2015,1142,123
14460,2017,1146,142
14460,2019,1006,102
16980,1985,496,29
16980,1987,439,17
16980,1989,537,28
16980,1991,454,29
16980,1993,543,32
16980,1995,824,37
16980,1997,383,18
16980,1999,730,47
16980,2001,406,24
16980,2003,884,52
16980,2005,433,24
16980,2007,386,22
16980,2009,462,43
16980,2011,441,45
16980,2013,464,47
16980,2015,5780,920
16980,2017,5244,708
16980,2019,4972,600
19100,1985,343,57
19100,1987,310,55
19100,1989,354,60
19100,1991,307,51
19100,1993,403,70
19100,1995,325,56
19100,1997,255,38
19100,1999,286,49
19100,2001,294,56
19100,2003,323,61
19100,2005,324,50
19100,2007,300,46
19100,2009,313,55
19100,2011,356,79
19100,2013,337,67
19100,2015,5115,1107
19100,2017,5229,1074
19100,2019,4209,675
19820,1985,504,72
19820,1987,410,55
19820,1989,505,65
19820,1991,413,46
19820,1993,514,52
19820,1995,985,96
19820,1997,431,27
19820,1999,956,83
19820,2001,489,39
19820,2003,1033,89
19820,2005,506,38
19820,2007,440,38
19820,2009,1289,149
19820,2011,540,73
19820,2013,2289,314
19820,2015,3646,664
19820,2017,3448,614
19820,2019,3874,534
26420,1985,275,55
26420,1987,259,53
26420,1989,284,63
26420,1991,280,80
26420,1993,313,63
26420,1995,252,38
26420,1997,177,17
26420,1999,225,40
26420,2001,229,51
26420,2003,219,38
26420,2005,200,28
26420,2007,195,30
26420,2009,179,30
26420,2011,217,42
26420,2013,244,45
26420,2015,6308,1464
26420,2017,6188,1084
26420,2019,5864,1008
31080,1985,681,140
31080,1987,573,120
31080,1989,679,142
31080,1991,560,115
31080,1993,703,178
31080,1995,1276,289
31080,1997,410,86
31080,1999,1068,232
31080,2001,501,118
31080,2003,1190,232
31080,2005,504,89
31080,2007,391,75
31080,2009,415,87
31080,2011,1299,275
31080,2013,524,115
31080,2015,2654,836
31080,2017,2540,696
31080,2019,2370,552
33100,1985,343,47
33100,1987,300,40
33100,1989,376,67
33100,1991,311,52
33100,1993,419,57
33100,1995,335,56
33100,1997,236,25
33100,1999,294,36
33100,2001,336,47
33100,2003,310,59
33100,2005,300,40
33100,2007,257,42
33100,2009,249,42
33100,2011,302,62
33100,2013,319,66
33100,2015,3870,894
33100,2017,3795,840
33100,2019,3765,825
35620,1985,1037,46
35620,1987,837,42
35620,1989,1064,71
35620,1991,805,48
35620,1993,1053,64
35620,1995,885,65
35620,1997,677,41
35620,1999,736,55
35620,2001,775,73
35620,2003,843,74
35620,2005,796,61
35620,2007,751,63
35620,2009,806,78
35620,2011,863,83
35620,2013,795,73
35620,2015,7912,1336
35620,2017,7464,1152
35620,2019,7928,1184
37980,1985,363,19
37980,1987,278,19
37980,1989,362,24
37980,1991,269,24
37980,1993,359,29
37980,1995,695,55
37980,1997,279,16
37980,1999,841,98
37980,2001,421,44
37980,2003,952,82
37980,2005,496,43
37980,2007,417,43
37980,2009,1118,132
37980,2011,568,69
37980,2013,1965,250
37980,2015,3354,644
37980,2017,3068,572
37980,2019,2416,374
38060,1985,229,44
38060,1987,226,29
38060,1989,264,41
38060,1991,254,52
38060,1993,289,59
38060,1995,261,45
38060,1997,200,35
38060,1999,221,37
38060,2001,259,47
38060,2003,253,39
38060,2005,261,40
38060,2007,255,36
38060,2009,267,43
38060,2011,314,73
38060,2013,290,69
38060,2015,1692,433
38060,2017,1564,308
38060,2019,1541,277
40140,1985,171,24
40140,1987,152,27
40140,1989,195,29
40140,1991,161,29
40140,1993,196,30
40140,1995,172,24
40140,1997,130,26
40140,1999,152,32
40140,2001,161,32
40140,2003,166,28
40140,2005,164,18
40140,2007,134,25
40140,2009,148,24
40140,2011,172,41
40140,2013,178,51
40140,2015,1954,547
40140,2017,1917,426
40140,2019,1834,357
41860,1985,387,50
41860,1987,324,60
41860,1989,441,68
41860,1991,319,58
41860,1993,444,70
41860,1995,306,55
41860,1997,225,32
41860,1999,299,49
41860,2001,304,40
41860,2003,302,50
41860,2005,296,42
41860,2007,253,38
41860,2009,259,42
41860,2011,294,51
41860,2013,306,55
41860,2015,2654,582
41860,2017,2458,502
41860,2019,2616,504
42660,1985,235,58
42660,1987,206,44
42660,1989,290,55
42660,1991,222,43
42660,1993,295,61
42660,1995,224,50
42660,1997,184,34
42660,1999,213,43
42660,2001,222,42
42660,2003,227,38
42660,2005,219,42
42660,2007,183,41
42660,2009,191,45
42660,2011,221,48
42660,2013,204,47
42660,2015,3112,654
42660,2017,2910,530
42660,2019,2752,404
47900,1985,299,26
47900,1987,239,29
47900,1989,316,25
47900,1991,255,28
47900,1993,343,35
47900,1995,262,28
47900,1997,164,16
47900,1999,215,30
47900,2001,222,21
47900,2003,252,25
47900,2005,220,15
47900,2007,196,25
47900,2009,203,30
47900,2011,245,36
47900,2013,252,39
47900,2015,3298,584
47900,2017,3184,538
47900,2019,2912,458
